Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
GT-DevelopersIO,1606876556984,1,26164.0,26164.0,147939.0,0.6,1,2,3,0,1,SUCCESS,26164
Karl-NAB,1606876586757,1,29084.0,29084.0,173603.0,1.6,3,5,8,0,2,SUCCESS,29084
Keaton,1606874448465,1,38425.0,38425.0,174487.0,8.0,15,9,24,0,3,SUCCESS,38425
nalbam-me,1606871285037,1,38736.0,38736.0,165958.0,4.0,9,7,16,0,4,SUCCESS,38736
CGS-LargeLattice,1606875710042,1,46542.0,46542.0,150049.0,4.333333333333333,5,8,13,0,5,SUCCESS,46542
TonyJ,1606876551528,1,52468.0,52468.0,128916.0,6.0,4,8,12,0,6,SUCCESS,52468
UNO-DENSO,1606876652422,1,53077.0,53077.0,159507.0,10.0,12,8,20,0,7,SUCCESS,53077
SK-DENSO,1606875205494,1,54542.0,54542.0,126140.0,9.0,12,6,18,0,8,SUCCESS,54542
YUTAM-DENSO,1606876610134,1,61050.0,61050.0,61050.0,4.0,4,0,4,0,9,SUCCESS,61050
X-DENSO,1606876199929,1,157002.0,157002.0,157002.0,30.0,23,7,30,0,10,SUCCESS,157002
nero-DNPds,1606877187147,1,173915.0,173915.0,173915.0,33.0,28,5,33,0,11,SUCCESS,173915
Asumi,1606876133565,0,,,,0.0,0,0,0,0,12,SUCCESS,9223372036854775769
satussy777,1606875427266,0,,,,0.0,0,0,0,0,13,SUCCESS,9223372036854775769
