Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
Deepak-dpk,1607050002775,1,24836,24836,171150,0.6666666666666666,4,0,4,0,1,SUCCESS,24836
condoriano,1607048518365,1,28088,28088,150316,2.25,6,3,9,0,2,SUCCESS,28088
PolishThunder,1607048739842,1,31477,31477,156968,4.0,0,16,16,0,3,SUCCESS,31477
JonathanRacer,1607046895344,1,32308,32308,175973,2.2,1,10,11,0,4,SUCCESS,32308
Mungi,1607049131369,1,35263,35263,156247,1.25,2,3,5,0,5,SUCCESS,35263
kimwooglae,1607049906372,1,41679,41679,134197,4.0,8,4,12,0,6,SUCCESS,41679
YMZK-DENSO,1607029145054,1,43679,43679,166972,5.0,4,11,15,0,7,SUCCESS,43679
CGS-EnormousElectron,1607049314092,1,45469,45469,105181,3.5,5,2,7,0,8,SUCCESS,45469
JPMC-Vega-Hyderabad,1607050158479,1,49344,49344,101989,5.5,6,5,11,1,9,SUCCESS,49344
mayurmadnani,1607000658019,1,141992,141992,141992,20.0,18,2,20,0,10,SUCCESS,141992
