Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1614314883971,3,18596,18196,55788,0.0,0,0,0,6455,1,SUCCESS,55788
GT-DevelopersIO,1613889611545,3,19600,19341,58800,0.0,0,0,0,3295,2,SUCCESS,58800
Duckworth,1612216865014,3,19746,19330,59239,0.0,0,0,0,377,3,SUCCESS,59239
Karl-NAB,1612405013875,3,19912,19335,59738,0.0,0,0,0,68,4,SUCCESS,59738
flatearth,1614489636646,3,20012,19539,60038,0.0,0,0,0,483,5,SUCCESS,60038
Fumiaki,1613952641961,3,20071,19741,60215,0.0,0,0,0,3218,6,SUCCESS,60215
Jochem,1614364862376,3,20187,19839,60563,0.0,0,0,0,539,7,SUCCESS,60563
dartjason,1614162855246,3,20371,19406,61115,0.0,0,0,0,2590,8,SUCCESS,61115
AJM-Model-1,1613011871630,3,20387,20003,61161,0.0,0,0,0,2403,9,SUCCESS,61161
PolishThunder,1613627325718,3,20446,19738,61339,0.0,0,0,0,7058,10,SUCCESS,61339
condoriano,1613021237547,3,20465,19601,61397,0.0,0,0,0,93,11,SUCCESS,61397
Maikel,1613444142020,3,20869,20453,62609,0.0,0,0,0,605,12,SUCCESS,62609
RogerRabbit,1612391829095,3,20937,20723,62811,0.0,0,0,0,1,13,SUCCESS,62811
Deepak-dpk,1614538849585,3,21014,20534,63044,0.0,0,0,0,892,14,SUCCESS,63044
RobinCastro-DBS,1613724344471,3,21113,20613,63341,0.0,0,0,0,99,15,SUCCESS,63341
Ernesto,1613350356623,3,21132,20993,63396,0.0,0,0,0,603,16,SUCCESS,63396
Rogue,1614058967205,3,21323,20458,63970,0.0,0,0,0,1,17,SUCCESS,63970
S-P-,1613015736517,3,21457,21207,64373,0.0,0,0,0,66,18,SUCCESS,64373
Mentaiko-DevelopersIO,1613214409619,3,21731,21066,65194,0.0,0,0,0,2902,19,SUCCESS,65194
JPMC-DriftKing,1613602264929,3,21766,21661,65298,0.0,0,0,0,4,20,SUCCESS,65298
TonyJ,1613993987006,3,21769,21171,65307,0.0,0,0,0,139,21,SUCCESS,65307
Yxcas-DBS,1614383421666,3,21795,21065,65385,0.0,0,0,0,3540,22,SUCCESS,65385
kimmizian,1613326504696,3,22191,21849,66575,0.0,0,0,0,5228,23,SUCCESS,66575
ep-dr-racer1,1613176901548,3,22394,22084,67184,0.0,0,0,0,889,24,SUCCESS,67184
Penguin-DNPds,1614123372206,3,22472,21994,67418,0.0,0,0,0,8,25,SUCCESS,67418
blueberrypie,1612601283570,3,22576,22117,67729,0.0,0,0,0,921,26,SUCCESS,67729
MiLKB,1613416399155,3,22650,22058,67950,0.0,0,0,0,3288,27,SUCCESS,67950
DBro,1612532651259,3,22952,22120,68858,0.0,0,0,0,1306,28,SUCCESS,68858
kimwooglae,1612892856947,3,23117,22930,69353,0.0,0,0,0,6283,29,SUCCESS,69353
mayurmadnani,1612671542679,3,23176,22804,69528,0.0,0,0,0,25,30,SUCCESS,69528
think,1613362056006,3,23498,22460,70496,0.0,0,0,0,6168,31,SUCCESS,70496
atnmn,1614541580482,3,23921,22998,71765,0.0,0,0,0,2955,32,SUCCESS,71765
ProteusXplorer,1612293943417,3,24194,23535,72582,0.0,0,0,0,51,33,SUCCESS,72582
Yeti,1613062135149,3,24676,23993,74028,0.0,0,0,0,113,34,SUCCESS,74028
nalbam-me,1614173622286,3,24824,24403,74473,0.0,0,0,0,2841,35,SUCCESS,74473
Matt,1613453383811,3,25234,25072,75703,0.0,0,0,0,460,36,SUCCESS,75703
Joffe,1614521061549,3,25328,24483,75985,0.0,0,0,0,20,37,SUCCESS,75985
IcePandaBoom,1614541865861,3,25747,25213,77241,0.0,0,0,0,2,38,SUCCESS,77241
Giacomo,1613596815392,3,26027,25672,78081,0.0,0,0,0,9,39,SUCCESS,78081
Granville777,1613446439850,3,26142,24190,78427,0.3333333333333333,0,1,1,11,40,SUCCESS,78427
Rober,1613827909811,3,26309,24868,78928,0.0,0,0,0,15,41,SUCCESS,78928
Galileo,1612257214137,3,26542,25811,79626,0.0,0,0,0,27,42,SUCCESS,79626
Keaton,1612410074778,3,27154,26932,81462,0.0,0,0,0,4,43,SUCCESS,81462
ABaykov,1612759193138,3,27618,26472,82854,0.0,0,0,0,146,44,SUCCESS,82854
alexj,1613803731186,3,28235,27793,84706,0.0,0,0,0,44,45,SUCCESS,84706
JPMC-LesBleus,1613517833421,3,28239,26197,84717,0.6666666666666666,0,2,2,1,46,SUCCESS,84717
ShinyThings-DBS,1612969545462,3,29103,28470,87311,0.0,0,0,0,2076,47,SUCCESS,87311
rosscomp1,1612667605288,3,29122,28335,87367,0.0,0,0,0,35,48,SUCCESS,87367
IVE-FYP-DeepRacerEvo,1612703273146,3,29386,28137,88159,0.0,0,0,0,57,49,SUCCESS,88159
BoogieTimeProductions,1612840569706,3,29491,28135,88475,0.0,0,0,0,1428,50,SUCCESS,88475
MattCamp,1612204801832,3,29493,27602,88481,0.3333333333333333,0,1,1,8,51,SUCCESS,88481
ShibaInu-DevelopersIO,1613447803290,3,29885,27637,89655,0.3333333333333333,0,1,1,25,52,SUCCESS,89655
gigi-DNPds,1614313800278,3,30113,28738,90341,0.3333333333333333,0,1,1,37,53,SUCCESS,90341
Kire,1612253960537,3,30821,30203,92464,0.0,0,0,0,36,54,SUCCESS,92464
race-ata,1614228830251,3,31107,30658,93322,0.0,0,0,0,145,55,SUCCESS,93322
